English,Arabic,BG (Bulgarian),CA (Catalan ),"Chinese, Traditional","Chinese, Simplified ",CS (Czech),DA (Danish),DE (German ),EL (Greek),EN (English),ES (Spanish ),ET (Estonian),FI (Finnish),FR( French),GA (Irish),HR (Croatian),HU (Hungarian),IT (Italian),Japanese,LT (lithuanian),LV (Latvian),Māori,MT (Maltese),NL (Dutch),NO (Norwegian),PL (Polish),PT (Portuguese),RO (Romanian),SE (Serbian),SK (Slovak),SL (Slovenian),SV (Swedish),Turkish
annual report/review,تقرير سنوي,годишен доклад,informe anual/ revisió anual,年度報告/回顧,年度报告/回顾,výroční zpráva,"årsberetning, årsrapport",Jahresbericht,Ετήσια έκθεση,annual report,informe anual,aastaaruanne,"vuosikertomus, vuosikatsaus",rapport annuel,tuarascáil Bhliantúil,godišnje izvješće,éves jelentés,relazione annuale,年次報告,metinė ataskaita,gada pārskats,,rapport annwali,jaarverslag,årlig rapport,sprawozdanie roczne,relatório anual,raport anual,Годишњи извештај,výročná správa,letno poročilo,"årsrapport, årsberättelse",yıllık rapor
collaboration,,сътрудничество,col·laboració,合作,合作,spolupráce,samarbejde/gruppearbejde,Zusammenarbeit,"συνεργασία, σύμπραξη",collaboration,colaboración,koostöö,maailmanlaajuinen,collaboration,cianchomhoibriú,kolaboracija,együttműködés,collaborazione,コラボレーション,bendradarbiavimas,sadarbība,,kollaborazzjoni,"medewerking, collaboratief",samarbeid,współpraca,colaboração,colaborare,"сарадња, колаборација","spolupráca, kolaborácia",sodelovanje,samarbete,işbirliği
data management,,управление на данни,gestió de dades,數據管理,数据管理,správa dat,dataforvaltning,Datenverwaltung,διαχείριση δεδομένων,data management,gestión de datos ,andmehaldus,laskutustietojen hallinta,gestion des données ,bainistiú sonraí,upravljanje podatcima,adatgazdálkodás,gestione dei dati ,,duomenų tvarkymas,datu vadība,,ġestjoni ta' bażijiet ta’ dejta,gegevensbeheer,dataledelse,zarządzanie danymi podstawowymi,gestão dos dados ,management de date,управљање подацима,správa dát,upravljanje podatkov,hantering av faktureringsdata,veri yönetimi
data repository,,хранилище на данни,repositori de dades,數據存儲庫,数据存储库,"úložiště dat/datové úložiště 
",datalager,Datendepot/Datenregister ,αποθετήριο δεδομένων,data repository,repositorio de datos,andmehoidla,tietovarasto,référentiel de données,stór sonraí,spremište podataka,adattár,repository dei dati,,duomenų saugykla,datu repozitorijs,,repożitorju tad-data,dataopslagplaats,datalager,epozytorium danych,repositório de dados,depozit de date,спремиште података,úložisko údajov,odložišče podatkov,centrallager för databaser,veri deposu / veri ambarı
data sharing/sharing data,,споделяне на данни,"compartició de dades/
compartir les dades
",數據共享/資料共享,数据共享/资料共享,sdílení dat,datadeling,"Datenbenutzung, Datenübertragung",Διαμερισμός δεδομένων,data sharing,información compartida,andmete jagamine,tietojen yhteiskäyttö,partage de données,sonraí a roinnt,dijeljenje podataka,adatmegosztás/adatok megosztása,condivisione di dati,,"dalijantis duomenimis/
dalijimasis duomenimis
",datu koplietošana,,il-qsim tad-dejta,gemeenschappelijk gegevensgebruik,datadeling,wymiany danych,partilha de dados,schimbul de date,дељење података,zdieľanie údajov,souporaba podatkov,datadelning,veri paylaşımı
diversity,,разнообразие,diversitat,多樣性/多樣化,多样性/多样化,diverzita,forskellighed,Diversität,ποικιλομορφία,diversity,diversidad,mitmekesisus,monimuotoisuus,diversité,éagsúlacht,raznovrsnost,sokféleség,diversità,,įvairovė,daudzveidība,,id-diversità,diversiteit,mangfold,różnorodność,diversidade,diversitate,разноликост,rozmanitosť,raznolikost,mångfald,çeşitlilik
fees,,,tarifes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harç / ücretler
gender diversity,,сексуално различие,diversitat de gènere,性別多樣性,性别多样性,genderová diverzita,kønsvarians,Geschlechtsvarianz,ποικιλομορφία ως προς το φύλο,gender diversity,inconformidad /no conformidad de género ,sooline mitmekesisus,sukupuolen moninaisuus,mixité/variance de genre,athraitheacht inscne,rodna raznolikost,nemek szerinti megoszlás,diversità di genere,,lyčių įvairovė,dzimumu dažādība,,diversità tal-ġeneru,genderdiversiteit,kjønnsdiversitet,niezgodność płciowa,diversidade de género,diversitate de gen,родна разноликост,rodovej rozmanitosti,raznolikost spolov,könsskillnad,cinsiyet çeşitliliği
gender equality,,равенство между половете,igualtat de gènere,性別平等,性別平等,rovnost žen a mužů,kønsligestilling,Gleichstellung der Geschlechter,ισότητα των φύλων,gender equality,igualdad/equidad de género,sooline võrdõiguslikkus,sukupuolten tasa-arvo,égalité des sexes/égalité des chances,comhionannas inscne,ravnopravnost spolova,nemek közötti egyenlőség,parità di genere,,lyčių lygybė,dzimumu līdztiesība,,ugwaljanza bejn il-ġeneri,gendergelijkheid,likestilling,ównouprawnienie płci,gualdade de género,egalitate de gen,,rodová rovnosť,enakost spolov,jämställdhet,cinsiyet eşitliği
institutional repository,,,repositori institucional,機構知識庫,机构知识库,institucionální úložiště,digitale arkiv/åbent repository,institutionelle Repositorium/institutional repository,,institutional repository,,,digitaalisen arkiston (digital archive),,,institucionalni repozitorij,,depositi digitali,,,,,,,,,,,,,,digitala arkiv (digital archive),kurumsal arşiv
